# Wavelength [Å], Flux [10**-15 erg s-1 cm-2]
3.696269300151539028e+03,1.205632146315135940e-18
3.699546463459709685e+03,5.488252890551883142e-19
3.702823626767881251e+03,5.805919569817141184e-18
3.706100790076061912e+03,3.124118600796748408e-18
3.709377953384233024e+03,1.819540211431634910e-18
3.712655116692403681e+03,4.262259284588785924e-19
3.715932280000575247e+03,8.856400222671658438e-18
3.719209443308745904e+03,1.196324335254116376e-17
3.722486606616917015e+03,1.115551519333046313e-17
3.725763769925088127e+03,6.400722604554400212e-18
3.729040933233259238e+03,1.616733723883806132e-18
3.732318096541439900e+03,2.970495912012460424e-18
3.735595259849610557e+03,8.859077324717607793e-19
3.738872423157782123e+03,2.236718232719731236e-18
3.742149586465952780e+03,2.927049373877511286e-18
3.745426749774123891e+03,6.194869884251546472e-18
3.748703913082294548e+03,4.054299298229394249e-18
3.751981076390466114e+03,3.256875733457817422e-18
3.755258239698636771e+03,4.751102930839819653e-18
3.758535403006807883e+03,4.914979755521402246e-18
3.761812566314978994e+03,5.082660077235977051e-18
3.765089729623160110e+03,4.444402465181638266e-18
3.768366892931330767e+03,3.515648546903417829e-18
3.771644056239501879e+03,-3.232181308028940443e-19
3.774921219547672990e+03,3.207069166661144859e-18
3.778198382855844102e+03,3.361112877824665388e-18
3.781475546164014759e+03,2.598363384832983575e-18
3.784752709472185870e+03,1.538279842791984379e-18
3.788029872780356982e+03,1.921704953438508330e-18
3.791307036088528093e+03,3.977205808872505041e-18
3.794584199396708755e+03,3.064503115764249908e-18
3.797861362704879866e+03,2.863651192844430434e-18
3.801138526013050978e+03,6.586242044401207807e-18
3.804415689321221635e+03,5.153686295166838895e-18
3.807692852629392746e+03,3.315216357116943312e-18
3.810970015937563858e+03,4.142717927457463565e-18
3.814247179245734969e+03,1.825761622148252418e-18
3.817524342553905626e+03,3.301395351621021387e-18
3.820801505862076738e+03,2.003834672020542985e-18
3.824078669170257854e+03,7.362347895827382398e-18
3.827355832478428965e+03,5.199351004498941041e-18
3.830632995786599622e+03,5.730701991687206079e-19
3.833910159094771188e+03,2.830218079395121360e-18
3.837187322402941845e+03,1.269390357088558045e-18
3.840464485711112957e+03,4.191400985164846858e-18
3.843741649019283614e+03,4.128448304205191456e-18
3.847018812327454725e+03,3.412018001524037766e-18
3.850295975635625837e+03,3.441686411026656484e-18
3.853573138943806498e+03,5.084768673291476361e-18
3.856850302251977610e+03,4.538825347428989162e-18
3.860127465560148721e+03,4.683011610881884598e-18
3.863404628868319833e+03,3.215294040705975735e-18
3.866681792176490490e+03,6.495259670183749666e-18
3.869958955484662056e+03,4.646185258260120796e-18
3.873236118792832713e+03,5.333951001974184049e-18
3.876513282101003824e+03,3.079852149714404865e-18
3.879790445409174481e+03,4.016692403562991723e-18
3.883067608717355597e+03,4.405387058774429050e-18
3.886344772025526709e+03,7.260415785912672299e-18
3.889621935333697365e+03,4.538791170662693470e-18
3.892899098641868477e+03,3.760927782860289594e-18
3.896176261950039589e+03,3.539742286626430023e-18
3.899453425258210700e+03,7.947405621205287585e-19
3.902730588566381357e+03,3.763471589075696761e-18
3.906007751874552923e+03,5.464807088197229994e-18
3.909284915182723580e+03,2.495534788294437122e-18
3.912562078490894692e+03,3.315038640410157717e-18
3.915839241799075353e+03,4.108693952792031398e-18
3.919116405107246919e+03,2.846535968319151123e-18
3.922393568415417576e+03,2.296450922313266666e-18
3.925670731723588688e+03,3.819482147589044382e-18
3.928947895031759344e+03,2.488927844721176884e-18
3.932225058339930911e+03,4.918917422316312227e-18
3.935502221648101568e+03,4.544217077368836980e-18
3.938779384956272679e+03,5.788072978455941483e-18
3.942056548264453340e+03,5.763139723698808911e-18
3.945333711572624452e+03,3.946375723621934181e-18
3.948610874880795564e+03,4.211958055103759336e-18
3.951888038188966220e+03,4.117552697438391157e-18
